Ni,Mn,Fe,Cr,formula,Sconf,SconfR,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,compound possible,max ionic char,avg ionic char
1.0,0.0,0.0,0.0,Ni100,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,28.0,0.0,28.0,0.0,28.0,61.0,61.0,0.0,61.0,0.0,61.0,58.6934,58.6934,0.0,58.693400000000004,7.105427357601002e-15,58.6934,1728.0,1728.0,0.0,1728.0,0.0,1728.0,10.0,10.0,0.0,10.0,0.0,10.0,4.0,4.0,0.0,4.0,0.0,4.0,124.0,124.0,0.0,124.0,0.0,124.0,1.91,1.91,0.0,1.91,0.0,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,10.32,10.32,0.0,10.32,0.0,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.0,0.5953947,0.0,0.5953947,225.0,225.0,0.0,225.0,0.0,225.0,0.2,0.0,0.8,0.0,1.0,0.0,0.0
0.95,0.05,0.0,0.0,Ni95Mn5,1.7106720095271967e-05,0.1985152433458726,2.0,0.9513148795220223,0.9500461658082173,0.9500000767335914,0.9500000001518274,0.9500000000000155,25.0,28.0,3.0,27.85,0.2849999999999987,28.0,52.0,61.0,9.0,60.55,0.8550000000000025,61.0,54.938045,58.6934,3.7553549999999944,58.50563225,0.35675872499999883,58.6934,1519.0,1728.0,209.0,1717.55,19.85500000000004,1728.0,7.0,10.0,3.0,9.85,0.2850000000000003,10.0,4.0,4.0,0.0,4.0,0.0,4.0,124.0,139.0,15.0,124.75,1.425,124.0,1.55,1.91,0.3599999999999999,1.892,0.03420000000000001,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,7.85,0.2850000000000003,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,3.0,9.85,0.2850000000000003,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.15,0.2849999999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.15,0.2849999999999999,2.0,10.32,10.4875862069,0.16758620689999937,10.328379310345,0.01592068965549922,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.5953947,0.5950845793103451,0.5656404710344828,0.056533035034482794,0.5953947,217.0,225.0,8.0,224.6,0.7600000000000051,225.0,0.20304568527918782,0.0,0.7969543147208121,0.0,0.0,0.031880743083437246,0.0015143352964632692
0.9,0.1,0.0,0.0,Ni90Mn10,2.8013483195631247e-05,0.3250829733914482,2.0,0.9055385138137417,0.9004113346093702,0.9000030482951563,0.9000000268810894,0.9000000000258118,25.0,28.0,3.0,27.7,0.5400000000000006,28.0,52.0,61.0,9.0,60.1,1.6199999999999988,61.0,54.938045,58.6934,3.7553549999999944,58.3178645,0.6759638999999978,58.6934,1519.0,1728.0,209.0,1707.1,37.620000000000076,1728.0,7.0,10.0,3.0,9.7,0.5400000000000006,10.0,4.0,4.0,0.0,4.0,0.0,4.0,124.0,139.0,15.0,125.5,2.7,124.0,1.55,1.91,0.3599999999999999,1.874,0.06479999999999983,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,7.7,0.5399999999999998,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,3.0,9.7,0.5400000000000006,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.3,0.5399999999999998,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.3,0.5399999999999998,2.0,10.32,10.4875862069,0.16758620689999937,10.33675862069,0.030165517242000027,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.5953947,0.5950845793103451,0.5358862420689655,0.10711522427586213,0.5953947,217.0,225.0,8.0,224.2,1.440000000000009,225.0,0.2061855670103093,0.0,0.7938144329896908,0.0,0.0,0.031880743083437246,0.0028692668775093526
0.85,0.15,0.0,0.0,Ni85Mn15,3.6426250825615364e-05,0.42270908780599087,2.0,0.8631338250816034,0.8515542497026338,0.8500290924876991,0.8500006471816979,0.8500000024896727,25.0,28.0,3.0,27.55,0.7649999999999996,28.0,52.0,61.0,9.0,59.65,2.295000000000001,61.0,54.938045,58.6934,3.7553549999999944,58.13009674999999,0.957615525000002,58.6934,1519.0,1728.0,209.0,1696.65,53.29499999999994,1728.0,7.0,10.0,3.0,9.55,0.7649999999999996,10.0,4.0,4.0,0.0,4.0,0.0,4.0,124.0,139.0,15.0,126.25,3.825,124.0,1.55,1.91,0.3599999999999999,1.8559999999999999,0.09180000000000002,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,7.55,0.7650000000000001,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,3.0,9.55,0.7649999999999996,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.45,0.7650000000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.45,0.7650000000000001,2.0,10.32,10.4875862069,0.16758620689999937,10.345137931035001,0.04273448275950065,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.5953947,0.5950845793103451,0.5061320131034482,0.15174656772413803,0.5953947,217.0,225.0,8.0,223.8,2.039999999999992,225.0,0.20942408376963348,0.0,0.7905759162303664,0.0,0.0,0.031880743083437246,0.004064794743138249
0.8,0.2,0.0,0.0,Ni80Mn20,4.3121344488135964e-05,0.5004024235381879,2.0,0.8246211251235323,0.8041451517178116,0.8001561890005822,0.8000069752639724,0.8000000762939126,25.0,28.0,3.0,27.4,0.9600000000000009,28.0,52.0,61.0,9.0,59.2,2.879999999999998,61.0,54.938045,58.6934,3.7553549999999944,57.942329,1.2017135999999966,58.6934,1519.0,1728.0,209.0,1686.2,66.87999999999997,1728.0,7.0,10.0,3.0,9.4,0.9599999999999997,10.0,4.0,4.0,0.0,4.0,0.0,4.0,124.0,139.0,15.0,127.0,4.8,124.0,1.55,1.91,0.3599999999999999,1.8379999999999999,0.11520000000000001,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,7.4,0.9599999999999997,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,3.0,9.4,0.9599999999999997,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.6,0.96,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.6,0.96,2.0,10.32,10.4875862069,0.16758620689999937,10.35351724138,0.05362758620800001,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.5953947,0.5950845793103451,0.476377784137931,0.19042706537931042,0.5953947,217.0,225.0,8.0,223.4,2.5599999999999965,225.0,0.2127659574468085,0.0,0.7872340425531915,0.0,0.0,0.031880743083437246,0.00510091889334996
0.75,0.25,0.0,0.0,Ni75Mn25,4.8458293461967755e-05,0.5623351446188083,2.0,0.7905694150420949,0.7591472429689157,0.7506162703470459,0.7500489811920582,0.7500012701219063,25.0,28.0,3.0,27.25,1.125,28.0,52.0,61.0,9.0,58.75,3.375,61.0,54.938045,58.6934,3.7553549999999944,57.75456125000001,1.4082581249999924,58.6934,1519.0,1728.0,209.0,1675.75,78.375,1728.0,7.0,10.0,3.0,9.25,1.125,10.0,4.0,4.0,0.0,4.0,0.0,4.0,124.0,139.0,15.0,127.75,5.625,124.0,1.55,1.91,0.3599999999999999,1.82,0.1349999999999999,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,7.25,1.125,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,3.0,9.25,1.125,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.75,1.125,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.75,1.125,2.0,10.32,10.4875862069,0.16758620689999937,10.361896551725,0.06284482758749954,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.5953947,0.5950845793103451,0.4466235551724138,0.22315671724137937,0.5953947,217.0,225.0,8.0,223.0,3.0,225.0,0.21621621621621623,0.0,0.7837837837837838,0.0,0.0,0.031880743083437246,0.005977639328144484
0.7,0.3,0.0,0.0,Ni70Mn30,5.264021268754624e-05,0.6108643020548935,2.0,0.7615773105863908,0.7179054352068318,0.7020125508224327,0.700265258162485,0.7000146315163546,25.0,28.0,3.0,27.1,1.2599999999999993,28.0,52.0,61.0,9.0,58.3,3.780000000000001,61.0,54.938045,58.6934,3.7553549999999944,57.566793499999996,1.5772490999999988,58.6934,1519.0,1728.0,209.0,1665.3,87.78000000000002,1728.0,7.0,10.0,3.0,9.1,1.2600000000000002,10.0,4.0,4.0,0.0,4.0,0.0,4.0,124.0,139.0,15.0,128.5,6.3,124.0,1.55,1.91,0.3599999999999999,1.8019999999999998,0.1512,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,7.1,1.2600000000000002,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,3.0,9.1,1.2600000000000002,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.9,1.26,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.9,1.26,2.0,10.32,10.4875862069,0.16758620689999937,10.37027586207,0.07038620689799995,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.5953947,0.5950845793103451,0.41686932620689654,0.24993552331034494,0.5953947,217.0,225.0,8.0,222.6,3.360000000000002,225.0,0.21978021978021978,0.0,0.7802197802197802,0.0,0.0,0.031880743083437246,0.006694956047521822
0.65,0.35,0.0,0.0,Ni65Mn35,5.579263458017126e-05,0.6474466390346325,2.0,0.73824115301167,0.6822044948812935,0.6557808538633767,0.6512119039321292,0.6501330638615368,25.0,28.0,3.0,26.95,1.365,28.0,52.0,61.0,9.0,57.85,4.095,61.0,54.938045,58.6934,3.7553549999999944,57.379025750000004,1.708686524999996,58.6934,1519.0,1728.0,209.0,1654.85,95.09500000000001,1728.0,7.0,10.0,3.0,8.95,1.365,10.0,4.0,4.0,0.0,4.0,0.0,4.0,124.0,139.0,15.0,129.25,6.825,124.0,1.55,1.91,0.3599999999999999,1.7839999999999998,0.1638,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,6.95,1.365,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,3.0,8.95,1.365,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.05,1.365,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.05,1.365,2.0,10.32,10.4875862069,0.16758620689999937,10.378655172415002,0.07625172413950017,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.5953947,0.5950845793103451,0.38711509724137927,0.270763483586207,0.5953947,217.0,225.0,8.0,222.2,3.6400000000000032,225.0,0.223463687150838,0.0,0.7765363128491621,0.0,0.0,0.031880743083437246,0.007252869051481973
0.6,0.4,0.0,0.0,Ni60Mn40,5.799565823930521e-05,0.6730116670092565,2.0,0.7211102550927979,0.6542132620377179,0.6150303314869644,0.6048951994087753,0.6010324601930125,25.0,28.0,3.0,26.8,1.44,28.0,52.0,61.0,9.0,57.4,4.32,61.0,54.938045,58.6934,3.7553549999999944,57.191258,1.8025703999999976,58.6934,1519.0,1728.0,209.0,1644.4,100.31999999999998,1728.0,7.0,10.0,3.0,8.8,1.44,10.0,4.0,4.0,0.0,4.0,0.0,4.0,124.0,139.0,15.0,130.0,7.2,124.0,1.55,1.91,0.3599999999999999,1.766,0.17279999999999995,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,6.8,1.44,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,3.0,8.8,1.44,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,10.32,10.4875862069,0.16758620689999937,10.38703448276,0.08044137931199984,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.5953947,0.5950845793103451,0.35736086827586205,0.2856405980689656,0.5953947,217.0,225.0,8.0,221.8,3.8399999999999976,225.0,0.22727272727272727,0.0,0.7727272727272726,0.0,0.0,0.031880743083437246,0.007651378340024939
0.55,0.45,0.0,0.0,Ni55Mn45,5.9299214883871076e-05,0.6881388137135884,2.0,0.7106335201775948,0.6361981635313875,0.5854556652141454,0.5675189011967608,0.5569811326633567,25.0,28.0,3.0,26.65,1.4850000000000003,28.0,52.0,61.0,9.0,56.95,4.454999999999999,61.0,54.938045,58.6934,3.7553549999999944,57.00349025,1.8589007249999974,58.6934,1519.0,1728.0,209.0,1633.95,103.455,1728.0,7.0,10.0,3.0,8.65,1.485,10.0,4.0,4.0,0.0,4.0,0.0,4.0,124.0,139.0,15.0,130.75,7.425,124.0,1.55,1.91,0.3599999999999999,1.7480000000000002,0.17819999999999994,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,6.65,1.485,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,3.0,8.65,1.485,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.35,1.485,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.35,1.485,2.0,10.32,10.4875862069,0.16758620689999937,10.395413793105,0.08295517241549968,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.5953947,0.5950845793103451,0.3276066393103448,0.2945668667586208,0.5953947,217.0,225.0,8.0,221.4,3.9599999999999995,225.0,0.23121387283236994,0.0,0.7687861271676301,0.0,0.0,0.031880743083437246,0.007890483913150718
